Spend,Geography,Media Vertical,Media Name,Campaign Id,Product Category,Invoice
2500,All India,Digital,https://www.themediaant.com/digital/money-control-advertising,6119f71d2eaad200080a9fb5,Home Decor & Construction,INV006945
2500,Bengaluru,Digital,https://www.themediaant.com/digital/shark-tank-india-on-sony-liv-app-advertising,63904346c3bb9a0008c06535,Electronics & Gadgets,INV010518
2430,All India,Airport,https://www.themediaant.com/airport/air-vistara-india-advertising,62bd6c42a7d1d10009a9531e,Electronics & Gadgets,INV009041
2304.5,All India,Magazine,https://www.themediaant.com/magazine/industrial-product-finder-magazine-advertising,621dfbfc5a692f0009f92163,Engineering,"INV008662, INV009277, INV009702, INV009424, INV010358"
2294.136,Bengaluru,Airport,https://www.themediaant.com/airport/bangalore-airport-advertising,INV011948,Services,INV011948
2200,Delhi,Airport,https://www.themediaant.com/airport/delhi-airport-advertising,62bd6c42a7d1d10009a9531e,Electronics & Gadgets,INV009041
2190.2,Maharashtra,Television,https://www.themediaant.com/television/aaj-tak-tv-advertising,5f47825d2360fd365c600b90,Education & Skill,INV005410
2123.6,Bengaluru,Outdoor,https://www.themediaant.com/outdoor/hoarding-nagapura-bengaluru-81795,62d649bfd5289790f728a86e,Healthcare,"INV009211, INV009504"
2105.6,Delhi,Outdoor,https://www.themediaant.com/outdoor/hoarding-laxmi-nagar-new-delhi-80701,62d649bfd5289790f728a86e,Healthcare,"INV009211, INV009504"
2100,Bengaluru,Newspaper,https://www.themediaant.com/newspaper/times-of-india-bangalore-times-english-advertising,63c52b0e988f360008d89f69,IT Product & Services,INV011045
2016,Bengaluru,Digital,https://www.themediaant.com/digital/hotstar-advertising,61c439bdb29d4900085710c4,Finance,"INV007845, INV007954"
2000,Mumbai,Outdoor,https://www.themediaant.com/outdoor/hoarding-andheri-east-mumbai-81743,635f4ae1b6946300093cdac0,Automobile,INV010059
1950,Pune,Newspaper,https://www.themediaant.com/newspaper/times-of-india-pune-times-english-advertising,INV004869,Services,INV004869
1920.835,Bengaluru,Digital,https://www.themediaant.com/digital/ipl-2022-on-hotstar-app-advertising,INV009867,Services,INV009867
1920.835,Delhi,Digital,https://www.themediaant.com/digital/ipl-2022-on-hotstar-app-advertising,INV009867,Services,INV009867
1920.835,Mumbai,Digital,https://www.themediaant.com/digital/ipl-2022-on-hotstar-app-advertising,INV009867,Services,INV009867
1920.835,Hyderabad,Digital,https://www.themediaant.com/digital/ipl-2022-on-hotstar-app-advertising,INV009867,Services,INV009867
1920.835,Pune,Digital,https://www.themediaant.com/digital/ipl-2022-on-hotstar-app-advertising,INV009867,Services,INV009867
1920.835,Chennai,Digital,https://www.themediaant.com/digital/ipl-2022-on-hotstar-app-advertising,INV009867,Services,INV009867
1916.666,Bengaluru,Digital,https://www.themediaant.com/digital/ipl-2023-advertising,INV011987,FMCG,INV011987
1916.666,Delhi,Digital,https://www.themediaant.com/digital/ipl-2023-advertising,INV011987,FMCG,INV011987
1916.666,Mumbai,Digital,https://www.themediaant.com/digital/ipl-2023-advertising,INV011987,FMCG,INV011987
